Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"Package_PK",F6C18963-C020-7172-816C-AD657A899016,119,,15A18D05-3670-4E82-C1DE-F33D65AC5496,76,Primary Constraint,,N,Y,"Package",N,,,,
"Staff_FK",FE718939-B2D6-C87A-57FC-5A9A35386DC2,120,,1FDCAA50-BF3C-C8E5-11BB-B2837D171FAA,81,Foreign Key,,N,Y,"TourGuide",N,,,,
"Package_FK",D3019650-BD1C-0FFE-AD3A-1294046B72E6,121,,1FDCAA50-BF3C-C8E5-11BB-B2837D171FAA,81,Foreign Key,,N,Y,"TourGuide",N,,,,
"Customer_PK",0F3B91BB-0A17-4BE4-AEEB-862A75B4C6ED,122,,331A1377-6EA0-79F2-620C-3FF8D25BC6C8,73,Primary Constraint,,N,Y,"Customer",N,,,,
"Customer_Package_FK",09AA6E59-5A32-3AFC-5E4C-EE6638D124AC,123,,331A1377-6EA0-79F2-620C-3FF8D25BC6C8,73,Foreign Key,,N,Y,"Customer",N,,,,
"Activity_PK",180EC3DD-B822-7229-3ABF-1F73D52B1E08,124,,35362C93-5A3E-0B64-5C5D-03D4F129BCA5,72,Primary Constraint,,N,Y,"Activity",N,,,,
"PackageActivity_PK",07F82987-662A-1D47-8C18-F4DE592E6A1C,125,,44C2606A-4710-3433-D143-1456D4AB1750,77,Primary Constraint,,N,Y,"PackageActivity",N,,,,
"PackageActivity_PackageDays_FK",1DF912C7-80E1-3B44-57B7-240258BF3AC3,126,,44C2606A-4710-3433-D143-1456D4AB1750,77,Foreign Key,,N,Y,"PackageActivity",N,,,,
"PackageActivity_Activity_FK",A64FAFAE-BDA6-C658-1D04-7674D6771B7E,127,,44C2606A-4710-3433-D143-1456D4AB1750,77,Foreign Key,,N,Y,"PackageActivity",N,,,,
"Destination_PK",6C4D3BA3-1C12-660A-CB68-FD24D1AF3A84,128,,5E0F02BA-E773-F4F7-DD57-D3D924F15A4E,75,Primary Constraint,,N,Y,"Destination",N,,,,
"PackageDestination_PK",A4D998F3-831E-0300-0009-2F8827AABAA3,129,,689D9F50-A09B-20AE-D9E6-39F0EEC7824B,79,Primary Constraint,,N,Y,"PackageDestination",N,,,,
"PackageDestination_Package_FK",1E7A8B76-D1E2-6592-F138-230E3AF0B789,130,,689D9F50-A09B-20AE-D9E6-39F0EEC7824B,79,Foreign Key,,N,Y,"PackageDestination",N,,,,
"PackageDestination_Dest_FK",90CCF3F3-89D8-84CD-B7FF-E1C86E909215,131,,689D9F50-A09B-20AE-D9E6-39F0EEC7824B,79,Foreign Key,,N,Y,"PackageDestination",N,,,,
"PackageDays_PK",57A7D2EB-BA1F-D49D-B50C-FFE95C803F22,132,,88959D74-1FE2-2E76-769E-8539A46428F0,78,Primary Constraint,,N,Y,"PackageDays",N,,,,
"PackageDays_Package_FK",2F36DCDE-5591-2202-2DA4-4992CC4634AB,133,,88959D74-1FE2-2E76-769E-8539A46428F0,78,Foreign Key,,N,Y,"PackageDays",N,,,,
"Designation_PK",2F62F89E-6864-85D1-61D5-6B0B5A289782,134,,896E9E22-92BB-B5DD-682B-B39157A7EB03,74,Primary Constraint,,N,Y,"Designation",N,,,,
"Staff_PK",6302EBEE-207A-BEB5-BA90-B729FA3C46E5,135,,E605240A-2EA9-15C6-26F1-4EE3CE08D030,80,Primary Constraint,,N,Y,"Staff",N,,,,
"Staff_Designation_FK",4F98BD74-402E-A304-3460-CB16424C0E4C,136,,E605240A-2EA9-15C6-26F1-4EE3CE08D030,80,Foreign Key,,N,Y,"Staff",N,,,,
"TourGuide_PK",EDE345F1-C476-2288-417B-59345E506998,137,,1FDCAA50-BF3C-C8E5-11BB-B2837D171FAA,81,Primary Constraint,,N,Y,"TourGuide",N,,,,
