Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"Course_Course_no",B72304CF-6DC6-F8F6-787E-B61C47965F92,76,,1580A7CC-4D36-4EBA-AA59-0117712EBC64,75,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Student",,F,INTEGER,4,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",,,,
"Course_Course_no",4E7D9F2A-8721-73DD-B9E6-5E1D0822A9F5,77,,79DEF205-4A13-F722-5D21-FC35F7FBB0E9,73,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Module_code",,,INTEGER,3,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",,,,
"Course_no",C3B0EE31-C7E1-F188-F3C6-2585FFD74D33,78,,3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Course",P,,INTEGER,1,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",,,,
"Instructor_Instructor_no",090D0707-949E-BF42-3998-10E189CF8CAE,79,,3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Course",,F,INTEGER,3,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",,,,
"Instructor_faculty",38DF0EB2-0680-EBB6-DFA2-CC897070FD15,80,,5A296CFF-1A16-A5C7-5903-B15157D51651,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Instructor",,,VARCHAR2,3,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",50,,,
"Instructor_name",8D16BABB-9F38-D776-AD12-0812009B6AB5,81,,5A296CFF-1A16-A5C7-5903-B15157D51651,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Instructor",,,VARCHAR2,2,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",50,,,
"Instructor_no",208E4D9B-84F4-8F08-8F7C-33F61DC7ECFD,82,,5A296CFF-1A16-A5C7-5903-B15157D51651,72,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Instructor",P,,INTEGER,1,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",,,,
"Module_code_module_code",EE352AE7-CDEB-FC3B-DFEC-352B1885CCDB,83,,3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Course",,F,INTEGER,4,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",,,,
"Seat_id",C06AF4EF-111C-DE81-CCF6-845411676A3D,84,,A433B330-22E0-6879-7FE0-624AB99D84EB,74,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Seat",P,,INTEGER,1,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",,,,
"Seat_position",71BE2438-E5F5-E86A-9472-BD9D9BC9A84B,85,,A433B330-22E0-6879-7FE0-624AB99D84EB,74,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Seat",,,VARCHAR2,2,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",50,,,
"Student_address",E2D5DA5B-DFA0-A0CA-7E93-1F676A3D871C,86,,1580A7CC-4D36-4EBA-AA59-0117712EBC64,75,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Student",,,VARCHAR2,3,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",50,,,
"Student_id",8693071C-790C-21C9-E96C-F0E2D0379389,87,,1580A7CC-4D36-4EBA-AA59-0117712EBC64,75,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Student",P,F,INTEGER,1,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",,,,
"Student_name",0786E534-C1F1-13B8-9372-AC4C4DE55834,88,,1580A7CC-4D36-4EBA-AA59-0117712EBC64,75,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Student",,,VARCHAR2,2,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",50,,,
"course_name",DED391AF-2D26-B3FA-1422-DF0362AF77B6,89,,3A0E8C0F-A05B-2B6D-9D03-8AE970570661,71,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Course",,,VARCHAR2,2,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",50,,,
"module_code",A5FE3F58-CCA6-0200-74C4-86849E9133EB,90,,79DEF205-4A13-F722-5D21-FC35F7FBB0E9,73,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Module_code",P,,INTEGER,1,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",,,,
"module_name",01E2B8AE-C3B7-DDCB-F06D-2C8DECDD2883,91,,79DEF205-4A13-F722-5D21-FC35F7FBB0E9,73,N,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Module_code",,,VARCHAR2,2,88DA3422-423D-0E7A-9011-D5AFA937B828,70,"Relational_1",50,,,
