1,1,1,Yubraj,Khadka,Yubraj Khadka,6/15/1996,,110,,113,121,apfYubraj Khadka.jpeg,,,,,,createdDate,createdBy
2,2,1,Santosh,Shrestha,Santosh Shrestha,8/4/1988,,110,,113,121,apfSantosh Shrestha.jpeg,,,,,,12/16/2019,Admin
3,3,1,Shyam Kumar,Nepali,Shyam Kumar Nepali,9/13/1992,,110,,113,121,apfShyam K 113i.jpeg,,,,,,12/16/2019,Admin
4,4,1,Ram Kumar,Kumal,Ram Kumar Kumal,9/10/1994,,110,141,113,121,apfRam K Kumal.jpeg,,,,,,12/16/2019,Admin
5,5,1,Amrit Kumar,Chaudhary,Amrit Kumar Chaudhary,1/18/1993,,110,139,113,121,apfAmrit K Chaudhary.jpeg,,,,,,12/16/2019,Admin
6,6,1,Prabin Kumar,Syangtan,Prabin Kumar Syangtan,3/15/1993,,110,142,113,121,apfPrabin K Syangtan.jpeg,1,,,,,12/16/2019,Admin
7,7,1,Sudip,Shikhrakar,Sudip Shikhrakar,9/21/1989,,110,140,113,121,apfSudip Shikhrakar.jpeg,,,,,,12/16/2019,Admin
8,8,1,Milan,Rai,Milan Rai,11/4/1980,,110,,113,121,apfMilan Rai.jpeg,,,,,,12/16/2019,Admin
9,9,1,Nabin ,Lama,Nabin  Lama,3/25/1992,,110,141,113,121,apfNabin Lama.jpeg,,,,,,12/16/2019,Admin
10,10,1,Hari,Karki,Hari Karki,11/16/1993,,110,,113,121,apfHari Karki.jpeg,,,,,,12/16/2019,Admin
11,11,1,Bikey,Tamang,Bikey Tamang,6/25/1993,,110,,113,121,apfBikey Tamang.jpeg,,,,,,12/16/2019,Admin
12,12,1,Birendra Prakash,Yadav,Birendra Prakash Yadav,11/9/1997,,110,,113,121,apfBirendra P Yadav.jpeg,,,,,,12/16/2019,Admin
13,13,1,Raju,Yogi,Raju Yogi,11/18/1986,,110,,113,121,apfRaju Yogi.jpeg,,,,,,12/16/2019,Admin
14,14,1,Ramesh,Dangal,Ramesh Dangal,2/5/1988,,110,140,113,121,apfRamesh Dangal.jpeg,,,,,,12/16/2019,Admin
15,15,1,Rajiv,Lopchan,Rajiv Lopchan,4/2/2002,,110,141,113,121,apfRajiv Lopchan.jpeg,,,,,,12/16/2019,Admin
16,16,1,Biswas,Udas,Biswas Udas,1/16/2000,,110,,113,121,apfBiswas Udas.jpeg,,,,,,12/16/2019,Admin
17,17,1,Niraj,Chaudhary,Niraj Chaudhary,7/21/2002,,110,,113,121,apfNiraj Chaudhary.jpeg,,,,,,12/16/2019,Admin
18,18,1,Top Bahadur,Bista (Captain),Top Bahadur Bista (Captain),2/13/1988,,110,140,113,121,apfTop B Bista.jpeg,,,,,,12/16/2019,Admin
19,19,1,Santosh Kumar,Katuwal,Santosh Kumar Katuwal,1/27/1993,,110,,113,121,apfSantosh K Katuwal.jpeg,,,,,,12/16/2019,Admin
20,20,1,Raman,Rasaili,Raman Rasaili,8/23/1994,,110,,113,121,apfRaman Rasaili.jpeg,,,,,,12/16/2019,Admin
21,21,1,Aashish,Lama,Aashish Lama,12/1/1996,,110,141,113,121,apfAashish Lama.jpeg,,1,,,,12/16/2019,Admin
22,22,1,Rabi,Thing,Rabi Thing,9/3/1996,,110,,113,121,apfRabi Thing.jpeg,,,,,,12/16/2019,Admin
23,23,1,Rajan,Gurung,Rajan Gurung,4/15/2000,,110,140,113,121,apfRajan Gurung.jpeg,,,,,,12/16/2019,Admin
24,24,1,Buddhiman,Rai,Buddhiman Rai,3/23/1998,,110,141,113,121,apfBuddhiman Rai.jpeg,,,,,,12/16/2019,Admin
25,25,1,Pradip,Lama,Pradip Lama,10/1/1998,,110,,113,121,apfPradip Lama.jpeg,,,,,,12/16/2019,Admin
26,26,1,Akash,Budha Magar,Akash Budha Magar,2/14/2002,,110,,113,121,apfAkash Budha Magar.jpeg,,,,,,12/16/2019,Admin
27,27,1,Prakash,Pun,Prakash Pun,5/26/2000,,110,,113,121,apfPrakash Pun.jpeg,,,,,,12/16/2019,Admin
28,28,1,Rohit,Thapa,Rohit Thapa,11/4/1992,,110,,113,121,apfRohit Thapa.jpeg,,,,,,12/16/2019,Admin
29,29,1,Mani Kumar,Lama,Mani Kumar Lama,3/24/1996,,110,,113,121,apfMani K Lama.jpeg,,,,,,12/16/2019,Admin
30,30,1,Man Bahadur,Rana Magar,Man Bahadur Rana Magar,11/22/1993,,110,,113,121,apfMan B Rana Magar.jpeg,,,,,,12/16/2019,Admin
31,31,1,Amit,Lama,Amit Lama,11/21/1999,,110,,113,121,apfAmit Lama.jpeg,,,,,,12/16/2019,Admin
32,32,1,Bikash,Lama,Bikash Lama,7/23/1997,,110,,113,121,apfBikash Lama.jpeg,,,,,,12/16/2019,Admin
33,33,2,Birjesh,Chaudhary,Birjesh Chaudhary,7/9/2002,,110,142,113,121,bbcBirjesh Chaudhary.jpeg,,,,,,12/16/2019,Admin
34,34,2,Jeevan,Bhattarai,Jeevan Bhattarai,3/30/2000,,110,139,113,121,bbcJeevan Bhattarai.jpeg,,,,,,12/16/2019,Admin
35,35,2,Anjal,Maharjan,Anjal Maharjan,2/4/2002,,110,140,113,121,bbcAnjal Maharjan.jpeg,,,,,,12/16/2019,Admin
36,36,2,Dipenk,Raj Singh,Dipenk Raj Singh,9/30/1996,,110,140,113,121,bbcDipenk R Singh.jpeg,,,,,,12/16/2019,Admin
37,37,2,Jaya,Gurung,Jaya Gurung,11/30/2002,,110,141,113,121,bbcJaya Gurung.jpeg,1,,,,,12/16/2019,Admin
38,38,2,Manoj,Rai,Manoj Rai,3/16/1995,,110,140,113,121,bbcManoj Rai.jpeg,,1,,,,12/16/2019,Admin
39,39,2,Padam,Bhattarai,Padam Bhattarai,1/8/2002,,110,140,113,121,bbcPadam Bhattarai.jpeg,,,,,,12/16/2019,Admin
